,url,program,type,source title
0,https://en.wikipedia.org/wiki/Firearm,todo,Encyclopedia Entry,Wikipedia
1,https://www.cabelas.com/category/Firearms/553829580.uts,Anti-Control,Shop,Cabela's
2,https://www.academy.com/shop/browse/outdoors/shooting/firearms,Anti-Control,Shop,Academy
3,https://www.cheaperthandirt.com/category/firearms.do,Anti-Control,Shop,Cheaper Than Dirt
4,https://www.merriam-webster.com/dictionary/firearm,N/A,Encyclopedia Entry,Merriam-Webster
5,https://www.atf.gov/firearms,todo,todo,ATF.gov
6,https://www.atf.gov/rules-and-regulations/national-firearms-act,todo,todo,ATF.gov
7,https://www.atf.gov/firearms/firearms-guides-importation-verification-firearms-ammunition-gun-control-act-definitions,todo,todo,ATF.gov
8,https://www.scientificamerican.com/article/more-guns-do-not-stop-more-crimes-evidence-shows/,todo,todo,Scientific American
9,https://www.cfr.org/backgrounder/us-gun-policy-global-comparisons,todo,Blog Post,The Council on Foreign Relations
