,url,program,type,source title
0,https://en.wikipedia.org/wiki/Gun_control,Pro-Control,Encyclopedia Entry,Wikipedia
1,https://gun-control.procon.org/,Balanced,Forum,ProCon.org
2,https://www.axios.com/2018-midterm-elections-lucy-mcbath-gun-control-6ddd8fd2-3d2d-47f5-89f8-eefe26371997.html,Pro-Control,News Article,Axios
3,https://www.vox.com/2018/11/7/18072146/midterm-election-gun-control-ballot-initiative-congress-results,Pro-Control,News Article,Vox
4,https://www.nytimes.com/interactive/2015/10/07/us/gun-control-explained.html,Pro-Control,News Article,The New York Times
5,https://twitter.com/hashtag/guncontrol,N/A,Forum,Twitter
6,https://www.justfacts.com/guncontrol.asp,Balanced,Encyclopedia Entry,Just Facts
7,https://www.nytimes.com/topic/subject/guns-and-gun-control,Balanced,List of Articles,The New York Times
8,https://www.cfr.org/backgrounder/us-gun-policy-global-comparisons,Balanced,Blog Post,The Council on Foreign Relations
9,https://www.propublica.org/article/how-the-gun-control-debate-ignores-black-lives,Pro-Control,News Article,ProPublica
