,url,program,type,source title
0,https://www.opensecrets.org/news/issues/guns,Anti-Control,Advocacy Group,OpenSecrets.org
1,https://www.npr.org/tags/148305978/gun-rights?t=1541694082137,Balanced,List of Articles,NPR
2,https://www.usnews.com/topics/subjects/gun-control-and-gun-rights,Balanced,News Article,U.S. News
3,https://en.wikipedia.org/wiki/Right_to_keep_and_bear_arms,Balanced,Encyclopedia Entry,Wikipedia
4,https://www.thetrace.org/category/gun-rights/,Pro-Control,List of Articles,The Trace
5,https://www.oregonlive.com/expo/news/erry-2018/11/adaf7667eb118/militia-groups-help-gun-rights.html,Balanced,News Article,The Oregonian
6,https://aderholt.house.gov/issues/gun-rights,Anti-Control,Blog Post,Congressman Robert B. Aderholt
7,https://www.theatlantic.com/magazine/archive/2011/09/the-secret-history-of-guns/308608/,Pro-Control,News Article,The Atlantic
8,https://www.nytimes.com/interactive/2015/10/07/us/gun-control-explained.html,Pro-Control,News Article,The New York Times
9,http://www.pewresearch.org/fact-tank/2017/06/22/key-takeaways-on-americans-views-of-guns-and-gun-ownership/,Balanced,Research Report,Pew Research Center
