,url,program,type,source title
0,https://edition.cnn.com/2018/11/08/world/gallery/california-bar-shooting/index.html,N/A,News Article,CNN
1,https://edition.cnn.com/2018/11/08/entertainment/tamera-mowry-niece-borderline/index.html,N/A,News Article,CNN
2,https://www.independent.co.uk/news/world/americas/ian-long-california-shooting-suspect-david-identity-gunman-shooter-thousand-oaks-bar-victims-today-a8624221.html,N/A,News Article,Independent
3,https://abcnews.go.com/US/multiple-people-injured-reported-mass-shooting-california-bar/story?id=59050130,N/A,News Article,ABC News
4,https://www.cbsnews.com/live-news/california-mass-shooting-thousand-oaks-bar-today-2018-11-08-live-updates/,N/A,News Article,CBS News
5,https://en.wikipedia.org/wiki/Mass_shooting,Pro-Control,Encyclopedia Entry,Wikipedia
6,https://www.washingtonpost.com/lifestyle/style/once-again-nashville-faces-horrific-mass-shooting-involving-country-music-fans/2018/11/08/d8a880c8-e37b-11e8-b759-3d88a5ce9e19_story.html?noredirect=on&utm_term=.456f891f9887,Pro-Control,News Article,The Washington Post
7,http://www.shootingtracker.com/,N/A,Database,Mass Shootings
8,https://www.washingtonpost.com/news/wonk/wp/2015/12/03/what-makes-a-mass-shooting-in-america/?utm_term=.4b3839e797a1,Balanced,Blog Post,The Washington Post
9,https://fivethirtyeight.com/features/gun-deaths-mass-shootings/,Balanced,Blog Post,FiveThirtyEight
